Time,VitaminC (mg/dL),Glucose (mg/dL)
12/21/2023 0:49,44.51476,134.8328906
12/21/2023 0:49,44.73714,136.060489
12/21/2023 0:49,44.94333,137.0252866
12/21/2023 0:49,45.13333,134.2738095
12/21/2023 0:49,45.30714,131.6541784
12/21/2023 0:49,45.46476,137.7159417
12/21/2023 0:49,45.60619,139.3264981
12/21/2023 0:49,45.73143,139.7074401
12/21/2023 0:49,45.84048,136.182428
12/21/2023 0:49,45.93333,136.3019481
12/21/2023 0:49,46.01,139.9261438
12/21/2023 0:50,46.07048,138.4398719
12/21/2023 0:50,46.12905,136.5870812
12/21/2023 0:50,46.19048,137.4519184
12/21/2023 0:50,46.25,141.017649
12/21/2023 0:50,46.31,137.5988133
12/21/2023 0:50,46.37,134.824818
12/21/2023 0:50,46.43,140.6098913
12/21/2023 0:50,46.49,137.7876211
12/21/2023 0:50,46.55,138.8131247
12/21/2023 0:50,46.61,139.3896921
12/21/2023 0:50,46.66857,138.7229693
12/21/2023 0:50,46.72619,138.3081205
12/21/2023 0:51,46.78286,140.0347236
12/21/2023 0:51,46.83857,137.1011782
12/21/2023 0:51,46.89333,135.1891983
12/21/2023 0:51,46.94714,135.6343159
12/21/2023 0:51,47,135.9797649
12/21/2023 0:51,47.0519,136.7432492
12/21/2023 0:51,47.10286,135.4609277
12/21/2023 0:51,47.15286,139.0742729
12/21/2023 0:51,47.2019,142.4381091
12/21/2023 0:51,47.25,139.2279134
12/21/2023 0:51,47.29714,140.716685
12/21/2023 0:51,47.34333,140.1366118
12/21/2023 0:52,47.38857,140.0144659
12/21/2023 0:52,47.43286,137.8475937
12/21/2023 0:52,47.47619,140.9166361
12/21/2023 0:52,47.51857,136.4795812
12/21/2023 0:52,47.56,138.892609
12/21/2023 0:52,47.60048,140.5544997
12/21/2023 0:52,47.64,143.0701098
12/21/2023 0:52,47.68,139.9101453
12/21/2023 0:52,47.72,139.532404
12/21/2023 0:52,47.76,139.5876961
12/21/2023 0:52,47.8,139.5477541
12/21/2023 0:52,47.84,139.6225042
12/21/2023 0:53,47.88,141.4992004
12/21/2023 0:53,47.92,144.360491
12/21/2023 0:53,47.96,140.8309703
12/21/2023 0:53,48,141.2371279
12/21/2023 0:53,48.04,140.736437
12/21/2023 0:53,48.08,140.283978
12/21/2023 0:53,48.12,143.0011717
12/21/2023 0:53,48.16,143.2160987
12/21/2023 0:53,,
12/21/2023 0:53,,
12/21/2023 0:53,,
12/21/2023 0:53,,
12/21/2023 0:54,,
12/21/2023 0:54,,
12/21/2023 0:54,,
12/21/2023 0:54,,
12/21/2023 0:54,,
12/21/2023 0:54,,
12/21/2023 0:54,,
12/21/2023 0:54,,
12/21/2023 0:54,,
12/21/2023 0:54,,
12/21/2023 0:54,,
12/21/2023 0:54,,
12/21/2023 0:55,,
12/21/2023 0:55,,
12/21/2023 0:55,,
12/21/2023 0:55,,
12/21/2023 0:55,,
12/21/2023 0:55,,
12/21/2023 0:55,,
12/21/2023 0:55,,
12/21/2023 0:55,,
12/21/2023 0:55,,
