Time (minutes),glu,la,vc
94.25,136.9256,31.64215,
94.5,136.739,31.58182,
94.75,136.5513,31.52638,
95,136.363,31.47701,
95.25,136.1743,31.4341,
95.5,135.9858,31.39667,
95.75,135.7977,31.36364,
96,135.6104,31.33392,
96.25,135.4241,31.30642,
96.5,135.2383,31.28003,
96.75,135.0527,31.25368,
97,134.8666,31.22628,
97.25,134.6797,31.19672,
97.5,134.4915,31.16394,
97.75,134.3016,31.12757,
98,134.1095,31.08848,
98.25,133.9147,31.04762,
98.5,133.7169,31.00599,
98.75,133.5158,30.96453,
99,133.3118,30.92422,
99.25,133.1054,30.88603,
99.5,132.8969,30.85094,
99.75,132.6867,30.8199,
100,132.4753,30.79388,
100.25,132.263,30.77314,
100.5,132.0502,30.75678,
100.75,131.8374,30.74378,
101,131.625,30.73313,
101.25,131.4137,30.72382,
101.5,131.2052,30.71484,
101.75,131.001,30.70517,
102,130.8026,30.6938,
102.25,130.6118,30.67971,
102.5,130.43,30.66191,
102.75,130.259,30.63999,
103,130.1002,30.61451,
103.25,129.9553,30.58615,
103.5,129.8259,30.55557,
103.75,129.712,30.52346,
104,129.6113,30.49048,
104.25,129.5214,30.4573,
104.5,129.4397,30.42459,
104.75,129.3635,30.39302,
105,129.2905,30.36325,
105.25,129.2181,30.33539,
105.5,129.1436,30.30863,
105.75,129.0647,30.28206,
106,128.9787,30.25477,
106.25,128.8847,30.22587,
106.5,128.7844,30.19445,
106.75,128.6796,30.15962,
107,128.5722,30.12045,
107.25,128.4642,30.07606,
107.5,128.3573,30.02555,
107.75,128.2535,29.96871,
108,128.1547,29.90649,
108.25,128.0628,29.83993,
108.5,127.9795,29.77007,
108.75,127.9057,29.69797,
109,127.8397,29.62467,
109.25,127.78,29.55123,
109.5,127.725,29.47867,
109.75,127.6729,29.40807,
110,127.6222,29.34044,
110.25,127.5713,29.27632,
110.5,127.5184,29.21532,
110.75,127.462,29.15701,
111,127.4004,29.10093,
111.25,127.333,29.04663,
111.5,127.261,28.99367,
111.75,127.1855,28.94159,
112,127.1078,28.88994,
112.25,127.0293,28.83829,
112.5,126.9511,28.78617,
112.75,126.8745,28.73314,
113,126.8008,28.67875,
113.25,126.7311,28.62254,
113.5,126.6669,28.56408,
113.75,126.6083,28.50291,
114,126.5539,28.43858,
114.25,126.5021,,
114.5,126.4514,,
114.75,126.4003,,
115,126.3472,,
115.25,126.2905,,
115.5,126.2287,,
115.75,126.1602,,
116,126.0835,,
116.25,125.998,,
116.5,125.9048,,
116.75,125.805,,
117,125.6999,,
117.25,125.5906,,
117.5,125.4783,,
117.75,125.3643,,
118,125.2498,,
118.25,125.1358,,
118.5,125.0237,,
118.75,124.9147,,
119,124.8099,,
119.25,124.7105,,
119.5,124.6177,,
119.75,124.5328,,
120,124.4568,,
